Date,Open,High,Low,Close,High_Low_Diff,Volume
19/06/2015,249.042999,250.977005,243.787003,244.606003,7.190002,23965300
20/06/2015,244.529999,245.828003,240.626999,245.212006,5.201004,20608100
21/06/2015,245.100006,245.223999,241.882004,243.944,3.341995,10600900
22/06/2015,243.968994,247.917007,243.779007,246.990005,4.138,17692500
23/06/2015,246.927002,247.304001,243.132996,244.296005,4.171005,15108700
24/06/2015,244.281998,244.341003,240.514999,240.514999,3.826004,17344900
25/06/2015,240.365005,243.332001,240.365005,242.798996,2.966996,16133100
26/06/2015,242.604004,243.748993,241.552994,243.593994,2.195999,13983500
27/06/2015,243.548996,251.339005,243.117004,250.990005,8.222001,20488600
28/06/2015,250.955002,251.171997,247.434006,249.011002,3.737991,15137600
29/06/2015,248.720993,257.173004,248.580994,257.063995,8.59201,34742900
30/06/2015,257.036011,267.867004,255.945999,263.071991,11.921005,44533800
1/07/2015,263.345001,265.171997,255.774002,258.621002,9.397995,27029800
2/07/2015,258.552002,261.631012,254.115997,255.412003,7.515015,21551900
3/07/2015,255.459,257.076996,253.505005,256.335999,3.571991,19033800
4/07/2015,256.490997,261.457001,254.199997,260.885986,7.257004,15620400
5/07/2015,260.804993,274.506012,258.700989,271.912994,15.805023,44156100
6/07/2015,271.108002,277.421997,267.600006,269.029999,9.821991,49154800
7/07/2015,269.963013,271.341003,264.832001,266.207001,6.509002,28857600
8/07/2015,265.981995,272.971008,264.385986,270.785004,8.585022,36980200
9/07/2015,270.826996,272.334991,267.085999,269.227997,5.248992,40301200
10/07/2015,269.156006,294.591003,268.802002,284.894012,25.789001,100390000
11/07/2015,284.880005,298.506012,283.529999,293.11499,14.976013,41109900
12/07/2015,293.140015,314.394012,292.505005,310.867004,21.889007,56405000
13/07/2015,310.826996,310.947998,281.010986,292.053986,29.937012,62053900
14/07/2015,292.033997,296.147003,286.638,287.463989,9.509003,28727200
15/07/2015,288.045013,293.247986,285.367004,285.82901,7.880982,27486600
16/07/2015,286.041992,291.183014,275.23999,278.088989,15.943024,49482600
17/07/2015,278.091003,280.279999,272.042999,279.471985,8.237,27591400
18/07/2015,279.330994,282.527008,274.075012,274.901001,8.451996,25187100
19/07/2015,274.766998,275.670013,272.513,273.614014,3.157013,15332500
20/07/2015,273.498993,278.980988,272.959991,278.980988,6.020997,22711400
21/07/2015,278.881989,280.546997,275.419006,275.833008,5.127991,22930700
22/07/2015,275.657013,277.665985,274.381012,277.221985,3.284973,19389800
23/07/2015,277.341003,278.110992,275.716003,276.049011,2.394989,18531300
24/07/2015,276.005005,289.252991,275.253998,288.278015,13.998993,37199400
25/07/2015,288.164001,290.733002,286.002014,288.696991,4.730988,20662200
26/07/2015,288.640015,293.052002,287.705994,292.686005,5.346008,16032300
27/07/2015,292.639008,297.773987,287.450012,293.623993,10.323975,30592000
28/07/2015,293.632996,296.648987,293.423004,294.427002,3.225983,25453600
29/07/2015,294.484009,294.536011,288.777008,289.589996,5.759003,24672600
30/07/2015,289.102997,290.126007,286.567993,287.721985,3.558014,21635800
31/07/2015,287.696014,288.959015,282.343994,284.649994,6.615021,23629100
1/08/2015,284.686005,284.932007,278.112,281.601013,6.820007,18995000
2/08/2015,280.449005,283.032013,277.528992,282.614014,5.503021,17722200
3/08/2015,282.806,285.471008,280.233002,281.22699,5.238006,21474100
